soc_code,occupation_title,aioe_score,aioe_zscore,routine_cognitive,social_interpersonal,physical_manual,creative_adaptive,n_activities,education_level,college_required,annual_median_wage,log_wage,wage_percentile
47-2072,Pile-Driver Operators,-1.220009,-1.220008994177575,0.20842171419593059,0.2277476628171891,0.29994500746327285,0.20229397438919006,41.0,1.8590413685904137,0,70510.0,11.163509822713086,67.50369276218612
47-2073,Operating Engineers and Other Construction Equipment Operators,-0.8815078,-0.8815077938931472,0.19730569948186527,0.2544386873920553,0.2657685664939551,0.20055267702936097,41.0,1.9588363636363635,0,58710.0,10.980365349058232,50.51698670605613
47-2081,Drywall and Ceiling Tile Installers,-1.647971,-1.6479709945371728,0.1842973602484472,0.26348990683229817,0.250097049689441,0.21011257763975155,41.0,1.843709090909091,0,58140.0,10.970609174112868,49.33530280649926
47-2082,Tapers,-1.540774,-1.5407739944470997,0.16544912027986416,0.2736907089206709,0.2618582158658298,0.20454779298281717,41.0,1.700290909090909,0,64700.0,11.077516480488992,61.669128508124075
47-2111,Electricians,-0.7796905,-0.7796904938075945,0.19735090521831733,0.2585862619808307,0.25918530351437696,0.20414004259850904,41.0,2.308087373080874,0,62350.0,11.040518951108183,57.7917282127031
47-2121,Glaziers,-1.388901,-1.3889009943194874,0.19204284621270087,0.2667941851568478,0.25179801071155317,0.20734506503443,41.0,1.6719328067193278,0,55440.0,10.923056633863785,45.60561299852289
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",-1.618772,-1.6187719945126382,0.176047288614752,0.2677974813672578,0.2736228904309089,0.20011993489248692,41.0,1.5312727272727273,0,48680.0,10.793023547101463,34.490398818316095
47-2132,"Insulation Workers, Mechanical",-1.268615,-1.2686149942184164,0.18812756044662224,0.2696602136717809,0.2450799260984818,0.21310948670575952,41.0,1.8238448882384493,0,57250.0,10.955182921416487,47.63663220088626
47-2141,"Painters, Construction and Maintenance",-1.58799,-1.5879899944867732,0.19472381247098874,0.28431069162927436,0.23386971994429834,0.204084790345041,41.0,2.0618574506185743,0,48660.0,10.792612616337514,34.30576070901034
47-2142,Paperhangers,-1.72753,-1.7275299946040226,0.1746163036485617,0.2683576877125264,0.2693686242073339,0.20246300891462182,41.0,1.8455999999999997,0,48260.0,10.784358339179022,31.979320531757754
47-2151,Pipelayers,-1.225611,-1.2256109941822821,0.17154711561477698,0.2596345647490625,0.3003271363600096,0.20019149445463974,41.0,1.799490909090909,0,48710.0,10.793639626800589,34.638109305760715
47-2152,"Plumbers, Pipefitters, and Steamfitters",-1.121219,-1.121218994094566,0.19826455842653298,0.2569224836097185,0.2535287311993829,0.207790204396452,82.0,2.5877024330601657,0,62970.0,11.050413701482789,59.19497784342689
47-2161,Plasterers and Stucco Masons,-1.755588,-1.7555879946275985,0.18664015904572565,0.2672763419483101,0.25168986083499006,0.20588469184890656,41.0,1.2831272727272727,0,56020.0,10.9334640488141,46.122599704579024
